id,totalDay,month,day,dayOfWeek,numberOfGames,homeTeamId,awayTeamId
1,1,3,28,4,0,0,8
2,1,3,28,4,1,4,10
3,1,3,28,4,2,6,2
4,1,3,28,4,3,11,3
5,1,3,28,4,4,9,7
6,1,3,28,4,5,1,5
7,2,3,29,5,0,0,8
8,2,3,29,5,1,4,10
9,2,3,29,5,2,6,2
10,2,3,29,5,3,11,3
11,2,3,29,5,4,9,7
12,2,3,29,5,5,1,5
13,3,3,30,6,0,0,8
14,3,3,30,6,1,4,10
15,3,3,30,6,2,6,2
16,3,3,30,6,3,11,3
17,3,3,30,6,4,9,7
18,3,3,30,6,5,1,5
19,5,4,1,1,0,8,6
20,5,4,1,1,1,10,0
21,5,4,1,1,2,2,4
22,5,4,1,1,3,3,1
23,5,4,1,1,4,7,11
24,5,4,1,1,5,5,9
25,6,4,2,2,0,8,6
26,6,4,2,2,1,10,0
27,6,4,2,2,2,2,4
28,6,4,2,2,3,3,1
29,6,4,2,2,4,7,11
30,6,4,2,2,5,5,9
31,7,4,3,3,0,8,6
32,7,4,3,3,1,10,0
33,7,4,3,3,2,2,4
34,7,4,3,3,3,3,1
35,7,4,3,3,4,7,11
36,7,4,3,3,5,5,9
37,8,4,4,4,0,0,2
38,8,4,4,4,1,8,10
39,8,4,4,4,2,6,4
40,8,4,4,4,3,3,9
41,8,4,4,4,4,5,7
42,8,4,4,4,5,1,11
43,9,4,5,5,0,0,2
44,9,4,5,5,1,8,10
45,9,4,5,5,2,6,4
46,9,4,5,5,3,3,9
47,9,4,5,5,4,5,7
48,9,4,5,5,5,1,11
49,10,4,6,6,0,0,2
50,10,4,6,6,1,8,10
51,10,4,6,6,2,6,4
52,10,4,6,6,3,3,9
53,10,4,6,6,4,5,7
54,10,4,6,6,5,1,11
55,12,4,8,1,0,4,0
56,12,4,8,1,1,10,6
57,12,4,8,1,2,2,8
58,12,4,8,1,3,7,3
59,12,4,8,1,4,11,5
60,12,4,8,1,5,9,1
61,13,4,9,2,0,4,0
62,13,4,9,2,1,10,6
63,13,4,9,2,2,2,8
64,13,4,9,2,3,7,3
65,13,4,9,2,4,11,5
66,13,4,9,2,5,9,1
67,14,4,10,3,0,4,0
68,14,4,10,3,1,10,6
69,14,4,10,3,2,2,8
70,14,4,10,3,3,7,3
71,14,4,10,3,4,11,5
72,14,4,10,3,5,9,1
73,15,4,11,4,0,4,8
74,15,4,11,4,1,2,10
75,15,4,11,4,2,6,0
76,15,4,11,4,3,3,11
77,15,4,11,4,4,7,9
78,15,4,11,4,5,5,1
79,16,4,12,5,0,4,8
80,16,4,12,5,1,2,10
81,16,4,12,5,2,6,0
82,16,4,12,5,3,3,11
83,16,4,12,5,4,7,9
84,16,4,12,5,5,5,1
85,17,4,13,6,0,4,8
86,17,4,13,6,1,2,10
87,17,4,13,6,2,6,0
88,17,4,13,6,3,3,11
89,17,4,13,6,4,7,9
90,17,4,13,6,5,5,1
91,19,4,15,1,0,0,10
92,19,4,15,1,1,4,2
93,19,4,15,1,2,6,8
94,19,4,15,1,3,5,3
95,19,4,15,1,4,9,11
96,19,4,15,1,5,1,7
97,20,4,16,2,0,0,10
98,20,4,16,2,1,4,2
99,20,4,16,2,2,6,8
100,20,4,16,2,3,5,3
101,20,4,16,2,4,9,11
102,20,4,16,2,5,1,7
103,21,4,17,3,0,0,10
104,21,4,17,3,1,4,2
105,21,4,17,3,2,6,8
106,21,4,17,3,3,5,3
107,21,4,17,3,4,9,11
108,21,4,17,3,5,1,7
109,22,4,18,4,0,8,0
110,22,4,18,4,1,2,6
111,22,4,18,4,2,10,4
112,22,4,18,4,3,7,5
113,22,4,18,4,4,11,1
114,22,4,18,4,5,9,3
115,23,4,19,5,0,8,0
116,23,4,19,5,1,2,6
117,23,4,19,5,2,10,4
118,23,4,19,5,3,7,5
119,23,4,19,5,4,11,1
120,23,4,19,5,5,9,3
121,24,4,20,6,0,8,0
122,24,4,20,6,1,2,6
123,24,4,20,6,2,10,4
124,24,4,20,6,3,7,5
125,24,4,20,6,4,11,1
126,24,4,20,6,5,9,3
127,26,4,22,1,0,0,10
128,26,4,22,1,1,4,2
129,26,4,22,1,2,6,8
130,26,4,22,1,3,3,7
131,26,4,22,1,4,5,11
132,26,4,22,1,5,1,9
133,27,4,23,2,0,0,10
134,27,4,23,2,1,4,2
135,27,4,23,2,2,6,8
136,27,4,23,2,3,3,7
137,27,4,23,2,4,5,11
138,27,4,23,2,5,1,9
139,28,4,24,3,0,0,10
140,28,4,24,3,1,4,2
141,28,4,24,3,2,6,8
142,28,4,24,3,3,3,7
143,28,4,24,3,4,5,11
144,28,4,24,3,5,1,9
145,29,4,25,4,0,4,6
146,29,4,25,4,1,10,8
147,29,4,25,4,2,2,0
148,29,4,25,4,3,3,5
149,29,4,25,4,4,7,1
150,29,4,25,4,5,11,9
151,30,4,26,5,0,4,6
152,30,4,26,5,1,10,8
153,30,4,26,5,2,2,0
154,30,4,26,5,3,3,5
155,30,4,26,5,4,7,1
156,30,4,26,5,5,11,9
157,31,4,27,6,0,4,6
158,31,4,27,6,1,10,8
159,31,4,27,6,2,2,0
160,31,4,27,6,3,3,5
161,31,4,27,6,4,7,1
162,31,4,27,6,5,11,9
163,33,4,29,1,0,0,6
164,33,4,29,1,1,8,4
165,33,4,29,1,2,10,2
166,33,4,29,1,3,11,7
167,33,4,29,1,4,9,5
168,33,4,29,1,5,1,3
169,34,4,30,2,0,0,6
170,34,4,30,2,1,8,4
171,34,4,30,2,2,10,2
172,34,4,30,2,3,11,7
173,34,4,30,2,4,9,5
174,34,4,30,2,5,1,3
175,35,5,1,3,0,0,6
176,35,5,1,3,1,8,4
177,35,5,1,3,2,10,2
178,35,5,1,3,3,11,7
179,35,5,1,3,4,9,5
180,35,5,1,3,5,1,3
181,36,5,2,4,0,4,0
182,36,5,2,4,1,2,8
183,36,5,2,4,2,6,10
184,36,5,2,4,3,3,11
185,36,5,2,4,4,7,9
186,36,5,2,4,5,1,5
187,37,5,3,5,0,4,0
188,37,5,3,5,1,2,8
189,37,5,3,5,2,6,10
190,37,5,3,5,3,3,11
191,37,5,3,5,4,7,9
192,37,5,3,5,5,1,5
193,38,5,4,6,0,4,0
194,38,5,4,6,1,2,8
195,38,5,4,6,2,6,10
196,38,5,4,6,3,3,11
197,38,5,4,6,4,7,9
198,38,5,4,6,5,1,5
199,39,5,5,0,0,0,2
200,39,5,5,0,1,8,6
201,39,5,5,0,2,10,4
202,39,5,5,0,3,11,1
203,39,5,5,0,4,5,7
204,39,5,5,0,5,9,3
205,40,5,6,1,0,0,2
206,40,5,6,1,1,8,6
207,40,5,6,1,2,10,4
208,40,5,6,1,3,11,1
209,40,5,6,1,4,5,7
210,40,5,6,1,5,9,3
211,41,5,7,2,0,0,2
212,41,5,7,2,1,8,6
213,41,5,7,2,2,10,4
214,41,5,7,2,3,11,1
215,41,5,7,2,4,5,7
216,41,5,7,2,5,9,3
217,43,5,9,4,0,8,0
218,43,5,9,4,1,4,6
219,43,5,9,4,2,2,10
220,43,5,9,4,3,3,7
221,43,5,9,4,4,11,5
222,43,5,9,4,5,9,1
223,44,5,10,5,0,8,0
224,44,5,10,5,1,4,6
225,44,5,10,5,2,2,10
226,44,5,10,5,3,3,7
227,44,5,10,5,4,11,5
228,44,5,10,5,5,9,1
229,45,5,11,6,0,8,0
230,45,5,11,6,1,4,6
231,45,5,11,6,2,2,10
232,45,5,11,6,3,3,7
233,45,5,11,6,4,11,5
234,45,5,11,6,5,9,1
235,47,5,13,1,0,4,2
236,47,5,13,1,1,10,8
237,47,5,13,1,2,6,0
238,47,5,13,1,3,3,9
239,47,5,13,1,4,7,5
240,47,5,13,1,5,1,11
241,48,5,14,2,0,4,2
242,48,5,14,2,1,10,8
243,48,5,14,2,2,6,0
244,48,5,14,2,3,3,9
245,48,5,14,2,4,7,5
246,48,5,14,2,5,1,11
247,49,5,15,3,0,4,2
248,49,5,15,3,1,10,8
249,49,5,15,3,2,6,0
250,49,5,15,3,3,3,9
251,49,5,15,3,4,7,5
252,49,5,15,3,5,1,11
253,50,5,16,4,0,0,10
254,50,5,16,4,1,8,4
255,50,5,16,4,2,2,6
256,50,5,16,4,3,11,9
257,50,5,16,4,4,5,3
258,50,5,16,4,5,1,7
259,51,5,17,5,0,0,10
260,51,5,17,5,1,8,4
261,51,5,17,5,2,2,6
262,51,5,17,5,3,11,9
263,51,5,17,5,4,5,3
264,51,5,17,5,5,1,7
265,52,5,18,6,0,0,10
266,52,5,18,6,1,8,4
267,52,5,18,6,2,2,6
268,52,5,18,6,3,11,9
269,52,5,18,6,4,5,3
270,52,5,18,6,5,1,7
271,54,5,20,1,0,4,10
272,54,5,20,1,1,2,0
273,54,5,20,1,2,6,8
274,54,5,20,1,3,3,1
275,54,5,20,1,4,7,11
276,54,5,20,1,5,9,5
277,55,5,21,2,0,4,10
278,55,5,21,2,1,2,0
279,55,5,21,2,2,6,8
280,55,5,21,2,3,3,1
281,55,5,21,2,4,7,11
282,55,5,21,2,5,9,5
283,56,5,22,3,0,4,10
284,56,5,22,3,1,2,0
285,56,5,22,3,2,6,8
286,56,5,22,3,3,3,1
287,56,5,22,3,4,7,11
288,56,5,22,3,5,9,5
