playerId,position,defense
1,OUTFIELDER,57
2,OUTFIELDER,30
3,OUTFIELDER,33
4,SHORTSTOP,31
5,SHORTSTOP,51
6,OUTFIELDER,35
7,OUTFIELDER,64
8,OUTFIELDER,85
9,SECOND_BASEMAN,84
10,OUTFIELDER,11
11,THIRD_BASEMAN,83
12,SECOND_BASEMAN,29
13,OUTFIELDER,45
14,FIRST_BASEMAN,84
15,THIRD_BASEMAN,42
16,THIRD_BASEMAN,39
17,SHORTSTOP,24
18,SHORTSTOP,83
19,THIRD_BASEMAN,83
20,SHORTSTOP,33
21,OUTFIELDER,74
22,SECOND_BASEMAN,22
23,OUTFIELDER,28
24,SECOND_BASEMAN,87
25,CATCHER,29
26,OUTFIELDER,32
27,SECOND_BASEMAN,88
28,OUTFIELDER,10
29,OUTFIELDER,17
30,OUTFIELDER,19
31,PITCHER,21
32,PITCHER,24
33,PITCHER,39
34,PITCHER,23
35,PITCHER,41
36,PITCHER,15
37,PITCHER,43
38,PITCHER,19
39,PITCHER,18
40,PITCHER,12
41,PITCHER,20
42,PITCHER,33
43,PITCHER,46
44,PITCHER,45
45,PITCHER,38
46,PITCHER,27
47,PITCHER,40
48,PITCHER,16
49,PITCHER,33
50,PITCHER,34
51,PITCHER,39
52,PITCHER,23
53,PITCHER,39
54,PITCHER,45
55,PITCHER,45
56,PITCHER,46
57,PITCHER,22
58,PITCHER,38
59,PITCHER,48
60,PITCHER,31
